0 programa 1
0 program-heading 2
4 program-block 6
4 constant-declaration-part 7
5 opt-program-parameters 9
7 variable-declaration-part 12
10 program-parameters 15
10 identifier-list 16
12 statement-part 18
13 variable-declaration 20
13 identifier-list 21
17 more-identifier 24
19 statement-sequence 26
19 statement 27
19 simple-statement 28
19 assignment-statement 30
19 IO-statement 31
19 writeln-statement 36
19 readln-statement 37
19 structured-statement 29
19 compound-statement 32
19 repetitive-statement 33
19 while-statement 39
19 for-statement 41
19 conditional-statement 34
22 more-constant-definition 49
27 more-statement 53
38 statement-sequence 56
38 statement 27
38 simple-statement 28
38 assignment-statement 30
38 IO-statement 31
38 writeln-statement 36
38 readln-statement 37
38 structured-statement 29
38 compound-statement 32
38 repetitive-statement 33
38 while-statement 39
38 for-statement 41
38 conditional-statement 34
42 expression 57
42 simple-expression 58 
42 opt-sign 59
44 opt-identifier-list 63
45 expression 65
45 simple-expression 58 
45 opt-sign 59
47 more-variable-declaration 67
47 variable-declaration 68
47 identifier-list 21
48 type 69
51 more-identifier 75
54 statement 77
54 simple-statement 28
54 assignment-statement 30
54 IO-statement 31
54 writeln-statement 36
54 readln-statement 37
54 structured-statement 29
54 compound-statement 32
54 repetitive-statement 33
54 while-statement 39
54 for-statement 41
54 conditional-statement 34
55 expression 78
55 simple-expression 58
55 opt-sign 59
58 opt-rel-expression 81
58 relational-operator 82
59 term 89
59 factor 90
62 opt-element-list 96
62 element-list 97
62 element 98
64 identifier-list 102
74 more-constant-definition 106
77 more-statement 107
80 statement 109
80 simple-statement 28
80 assignment-statement 30
80 IO-statement 31
80 writeln-statement 36
80 readln-statement 37
80 structured-statement 29
80 compound-statement 32
80 repetitive-statement 33
80 while-statement 39
80 for-statement 41
80 conditional-statement 34
82 simple-expression 110
82 opt-sign 59
89 more-add-term 111
89 addition-operator 112
90 more-mult-term 116
90 multiplication-operator 117
94 expression 123
94 simple-expression 58
94 opt-sign 59
95 factor 124
98 more-element 126
103 statement 129
103 simple-statement 28
103 assignment-statement 30
103 IO-statement 31
103 writeln-statement 36
103 readln-statement 37
103 structured-statement 29
103 compound-statement 32
103 repetitive-statement 33
103 while-statement 39
103 for-statement 41
103 conditional-statement 34
104 expression 130
104 simple-expression 58
104 opt-sign 59
105 more-variable-declaration 131
105 variable-declaration 68
105 identifier-list 21
109 opt-else 132
112 term 134
112 factor 90
117 factor 135
127 element 137
130 to-downto 138
133 statement 141
133 simple-statement 28
133 assignment-statement 30
133 IO-statement 31
133 writeln-statement 36
133 readln-statement 37
133 structured-statement 29
133 compound-statement 32
133 repetitive-statement 33
133 while-statement 39
133 for-statement 41
133 conditional-statement 34
134 more-add-term 142
134 addition-operator 112
135 more-mult-term 143
135 multiplication-operator 117
137 more-element 144
138 expression 145
138 simple-expression 58
138 opt-sign 59
146 statement 147
146 simple-statement 28
146 assignment-statement 30
146 IO-statement 31
146 writeln-statement 36
146 readln-statement 37
146 structured-statement 29
146 compound-statement 32
146 repetitive-statement 33
146 while-statement 39
146 for-statement 41
146 conditional-statement 34
